"Timestamp","(((3 por X) menos 2) es igual a 0)","((seno de X) mas (logaritmo natural de Y) mas (cotangente de Z))","(X elevado a la (A por B))","(((2 por (F aplicado a X)) menos (e elevado a la X)) dividido (seno de (X por (Y elevado a la 2) por (X menos 2))))","(la sumatoria de X que va desde A hasta B de (F de X))","(raiz 6 de 5)","(A no esta en conjunto vacio)"," (A intersectción B)","(((P negado) negado) es igual a P)","(el limite de X que tiende 0 de (seno de X))","((1 es menor o igual a X) y (X es menor a Y))","(A divide a B)","(maximo comun divisor entre X y Y)","((logaritmo base 10 de 100) es igual a 2)","((raiz cuadrada de (raiz cuadrada de X)) es igual a (raiz 4 de X))","(raiz cuadrada de 5)","(la sumatoria de I que va desde 0 hasta 100 de (X elevado a la I))","(conjunto de los enteros no es igual a conjunto vacio)","(el conjunto de todos X que cumplan que X sea (X es menor a 5))"
"2016/05/30 10:11:35 AM GMT-3","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","1 - Tendencia a adecuado","2","3 - Completamente adecuado","2","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","1 - Tendencia a adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","-1 - Tendencia a inadecuado"
"2016/05/30 10:13:20 AM GMT-3","3 - Completamente adecuado","3 - Completamente adecuado","2","1 - Tendencia a adecuado","3 - Completamente adecuado","1 - Tendencia a adecuado","1 - Tendencia a adecuado","3 - Completamente adecuado","2","3 - Completamente adecuado","1 - Tendencia a adecuado","2","2","3 - Completamente adecuado","2","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","1 - Tendencia a adecuado"
"2016/05/30 10:13:21 AM GMT-3","3 - Completamente adecuado","3 - Completamente adecuado","2","1 - Tendencia a adecuado","3 - Completamente adecuado","1 - Tendencia a adecuado","1 - Tendencia a adecuado","3 - Completamente adecuado","2","3 - Completamente adecuado","1 - Tendencia a adecuado","2","2","3 - Completamente adecuado","2","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","1 - Tendencia a adecuado"
"2016/05/30 10:18:18 AM GMT-3","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","-1 - Tendencia a inadecuado","1 - Tendencia a adecuado","1 - Tendencia a adecuado","1 - Tendencia a adecuado","3 - Completamente adecuado","2","3 - Completamente adecuado","0","3 - Completamente adecuado","3 - Completamente adecuado","1 - Tendencia a adecuado","1 - Tendencia a adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","-1 - Tendencia a inadecuado"
"2016/05/30 10:19:54 AM GMT-3","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","-1 - Tendencia a inadecuado","3 - Completamente adecuado","1 - Tendencia a adecuado","3 - Completamente adecuado","3 - Completamente adecuado","-1 - Tendencia a inadecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","1 - Tendencia a adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","-1 - Tendencia a inadecuado"
"2016/05/30 10:21:54 AM GMT-3","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","2","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado"
"2016/05/30 10:29:34 AM GMT-3","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","1 - Tendencia a adecuado","2","2","1 - Tendencia a adecuado","3 - Completamente adecuado","2","2","3 - Completamente adecuado","1 - Tendencia a adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado"
"2016/05/30 10:39:32 AM GMT-3","3 - Completamente adecuado","1 - Tendencia a adecuado","3 - Completamente adecuado","1 - Tendencia a adecuado","1 - Tendencia a adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado"
"2016/05/30 10:46:09 AM GMT-3","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","1 - Tendencia a adecuado","3 - Completamente adecuado","2","2","3 - Completamente adecuado","2","3 - Completamente adecuado","1 - Tendencia a adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","2","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","2"
"2016/05/30 10:48:14 AM GMT-3","1 - Tendencia a adecuado","3 - Completamente adecuado","2","0","3 - Completamente adecuado","2","3 - Completamente adecuado","2","0","3 - Completamente adecuado","1 - Tendencia a adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","2","3 - Completamente adecuado","0"
"2016/05/30 10:56:15 AM GMT-3","3 - Completamente adecuado","2","3 - Completamente adecuado","1 - Tendencia a adecuado","3 - Completamente adecuado","0","1 - Tendencia a adecuado","3 - Completamente adecuado","1 - Tendencia a adecuado","3 - Completamente adecuado","3 - Completamente adecuado","2","3 - Completamente adecuado","3 - Completamente adecuado","0","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","0"
"2016/05/30 11:06:20 AM GMT-3","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","0","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado"
"2016/05/30 11:06:51 AM GMT-3","1 - Tendencia a adecuado","3 - Completamente adecuado","3 - Completamente adecuado","0","3 - Completamente adecuado","0","-1 - Tendencia a inadecuado","2","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","2","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","0"
"2016/05/30 12:13:01 PM GMT-3","3 - Completamente adecuado","3 - Completamente adecuado","1 - Tendencia a adecuado","2","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","1 - Tendencia a adecuado","1 - Tendencia a adecuado","1 - Tendencia a adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","2","3 - Completamente adecuado","1 - Tendencia a adecuado","3 - Completamente adecuado","2"
"2016/05/30 1:19:41 PM GMT-3","3 - Completamente adecuado","3 - Completamente adecuado","1 - Tendencia a adecuado","2","2","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","2","2","2","2","3 - Completamente adecuado","2","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","1 - Tendencia a adecuado"
"2016/05/30 2:07:00 PM GMT-3","2","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","2","3 - Completamente adecuado","3 - Completamente adecuado","2","1 - Tendencia a adecuado","1 - Tendencia a adecuado","3 - Completamente adecuado","2","3 - Completamente adecuado","2","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","0"
"2016/05/30 2:18:05 PM GMT-3","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","2","3 - Completamente adecuado","3 - Completamente adecuado","2","3 - Completamente adecuado","2","3 - Completamente adecuado","3 - Completamente adecuado","-1 - Tendencia a inadecuado","3 - Completamente adecuado","2","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","1 - Tendencia a adecuado"
"2016/05/30 4:02:02 PM GMT-3","2","3 - Completamente adecuado","3 - Completamente adecuado","2","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","2","1 - Tendencia a adecuado","-1 - Tendencia a inadecuado","1 - Tendencia a adecuado","0","3 - Completamente adecuado","2","3 - Completamente adecuado","3 - Completamente adecuado","2","2","1 - Tendencia a adecuado"
"2016/05/30 5:30:54 PM GMT-3","2","2","3 - Completamente adecuado","2","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","2","2","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado","3 - Completamente adecuado"
