"Timestamp","¿Cómo la escribirías? n1.e1.f1","¿Cómo la escribirías? n1.e1.f2","¿Cómo la escribirías? n1.e1.f3","",""
"2016/04/03 2:17:25 PM GMT-3","el termino tres equis menos dos multiplicado por siete  es igual a cero","el termino equis elevado a la $TERM$ por b finalmente multiplicado por ce","raiz sexta de cinco","",""
"2016/04/03 2:20:27 PM GMT-3","el termino 3 por equis menos 2 finalmente multiplicado por 7 es igual a cero","el termino equis elevado a la $TERM$ por b finalmente multiplicado por c","la raiz sexta de 5","",""
"2016/04/03 2:21:23 PM GMT-3","(3 por x menos 2) por 7 es igual a 0","x elevado a la $TERM$ por b, por c","raiz sexta de 5","",""
"2016/04/03 2:30:29 PM GMT-3","(Tres de X menos 2 ) por 7 igual a 0","X elevado a la $TERM$ por b esa potencis multiplicada por C ","Raíz sexta de cinco ","",""
"2016/04/03 2:41:59 PM GMT-3","((3 x menos dos) por siete) es igual a cero","(X a la $TERM$ por b) por ce","Raíz sexta de 5","",""
"2016/04/03 2:53:04 PM GMT-3","","c por (x elevado ($TERM$ por b))","la raiz sexta de 5","",""
"2016/04/03 3:07:42 PM GMT-3","","(x a la $TERM$ por b ) por c","raiz sexta de 5","",""
"2016/04/03 3:25:04 PM GMT-3","tres equis menos dos siete igual cero","equis abro exponente $TERM$ por b cierro exponente c  ","","",""
"2016/04/03 4:00:58 PM GMT-3","(3 por x menos 2) por 7 igual a 0","(x a la ($TERM$ por b)) por c","Raíz sexta de 5","",""
"2016/04/03 4:09:28 PM GMT-3","(3 por x menos 2) por 7 igual  0","(x elevado a la $TERM$ por b) por c","raiz sexta de 5","",""
"2016/04/03 5:17:46 PM GMT-3","(tres equis menos dos) por siete, igual a cero","(equis a la $TERM$ por be) por ce","raiz sexta de cinco","",""
"2016/04/03 5:34:54 PM GMT-3","","c multiplicado por (x a la potencia $TERM$ por b)","raiz sexta de 5","",""
"2016/04/03 7:25:45 PM GMT-3","((Tres x menos 2) por 7) es igual a 0","(x a la ($TERM$ por b)) por c","Raíz sexta de cinco","",""
"2016/04/03 7:33:58 PM GMT-3","""((3 por x) menos 2) por 7) igual a 0""","""(x elevada a ($TERM$ por b)) por c""","""(raíz sexta) de 5""","",""
"2016/04/03 7:54:22 PM GMT-3","((3 x menos 2) por 7) es igual a 0","((x elevado a la ($TERM$ b)) multiplicado por c","raiz sexta de 5","",""
"2016/04/03 8:29:47 PM GMT-3","(((3 equis) menos 2) por 7) es igual a 0","(equis a la ($TERM$ por b)) por c","raíz sexta de 5","",""
"2016/04/03 10:14:22 PM GMT-3","(Tres equis menos dos) por 7 es igual a cero. ","","Raíz sexta de cinco. ","",""
"2016/04/03 10:15:12 PM GMT-3","","","","",""
"2016/04/03 11:10:11 PM GMT-3","(3 x menos 2) por 7 igual a 0","(x a la $TERM$ por b) por c","Raiz sexta de 5","",""
"2016/04/05 12:44:29 AM GMT-3","(3 por equis menos dos) multiplicado 7 igual a 0","x a la $TERM$ por b multiplicado c","raiz sexta de 5","",""
"2016/04/05 3:18:31 PM GMT-3","((tres por x) menos dos) por siete igual a cero","(x elevado a la ($TERM$ por c)) por c","5 a la raiz 6","",""
"2016/04/05 9:15:34 PM GMT-3","( 3 x menos 2) por 7 igual a 0","X a la ($TERM$ por b) por c","Raíz sexta de 5","",""
"2016/04/10 4:49:16 PM GMT-3","(3 equis menos 2) por 7 igual a cero","x a la multiplicacion entre $TERM$ y b por c","raiz sexta de 5","",""
"2016/04/11 10:24:48 PM GMT-3","","x a la $TERM$ por b por c","la raíz sexta de 5","",""
"2016/04/12 10:20:53 PM GMT-3","((tres x menos 2) dividio 7 es igual a cero","(x eleveado a $TERM$ por b) por c","Raiz sexta de cinco","",""
"2016/04/13 8:54:56 PM GMT-3","(tres equis menos 2) por 7 igual a 0","equis elevado  a la $TERM$ por b por c","raiz sexta de 5 ","",""
"2016/04/17 12:01:49 AM GMT-3","","( x elevado a ($TERM$ por b)) por c","raiz sexta de 5","",""
